Country,Item,Deviation,Sample Size,Sign Difference,p-value,Succesful Replication
Sweden,11,0.061726618705035985,139,False,7.768305830778138e-16,1.0
UK,11,0.06827586206896552,290,False,1.8680501113595597e-32,1.0
USA,11,0.07185185185185186,243,False,5.347597871354593e-28,1.0
Australia,12,-0.10241134751773048,282,False,1.4682744081201436e-15,1.0
Austria,12,-0.029189189189189196,111,False,5.7849926398640175e-11,1.0
Belgium,12,-0.11604166666666668,192,False,5.417231673911752e-10,1.0
Bulgaria,12,-0.10771653543307089,127,False,1.6462490356123657e-07,1.0
Chile,12,-0.005517241379310339,145,False,7.921183500642684e-16,1.0
Denmark,12,-0.13333333333333333,150,False,4.142745933469627e-07,1.0
Germany,12,-0.12746177370030579,327,False,1.5095787742112542e-14,1.0
Hong Kong,12,-0.10874999999999999,160,False,4.909419192794703e-09,1.0
Hungary,12,-0.058106995884773666,243,False,1.5149708249486258e-18,1.0
Ireland,12,-0.015781249999999997,256,False,3.2221238368715097e-25,1.0
Italy,12,-0.15893687707641194,301,False,3.3283796261224544e-10,1.0
Mainland China,12,-0.1836293436293436,259,False,4.826235402694981e-07,1.0
Norway,12,-0.11433628318584069,226,False,1.1613551152022115e-11,1.0
Serbia,12,-0.1530081300813008,246,False,4.472262758513989e-09,1.0
Slovenia,12,-0.1617821782178218,202,False,4.064703149789438e-07,1.0
Spain,12,-0.005829145728643209,199,False,4.175046357175537e-21,1.0
Sweden,12,-0.09179856115107912,139,False,4.8422771848444046e-09,1.0
UK,12,-0.02965517241379309,290,False,4.106524526626302e-26,1.0
USA,12,-0.016954732510288062,243,False,7.380211571882321e-24,1.0
Australia,13,-0.16163120567375877,282,False,0.3406984408346341,0.0
Austria,13,-0.06837837837837835,111,False,0.010385379619448904,1.0
Belgium,13,-0.03895833333333332,192,False,2.8417667670336965e-05,1.0
Bulgaria,13,-0.036456692913385824,127,False,0.000538792095678574,1.0
Chile,13,0.013448275862068981,145,False,9.599125346229737e-07,1.0
Denmark,13,-0.10333333333333328,150,False,0.033762977553403656,1.0
Germany,13,-0.10590214067278281,327,False,0.002353971310584746,1.0
Hong Kong,13,0.003750000000000031,160,False,9.509294351575039e-07,1.0
Hungary,13,-0.08506172839506165,243,False,0.0010692127549193704,1.0
Ireland,13,-0.07281249999999995,256,False,0.00017683457040160785,1.0
Italy,13,-0.1684053156146179,301,False,0.4536718624713191,0.0
Mainland China,13,0.062895752895753,259,False,3.954609787467424e-16,1.0
Norway,13,-0.04840707964601765,226,False,2.0698772709897055e-05,1.0
Serbia,13,-0.08024390243902435,246,False,0.0005754817530357169,1.0
Slovenia,13,-0.13554455445544544,202,False,0.12164285939133992,0.0
Spain,13,-0.036733668341708436,199,False,1.5310348473879456e-05,1.0
Sweden,13,-0.22237410071942443,139,True,0.4452427442174437,0.0
UK,13,-0.11413793103448266,290,False,0.009772723409134232,1.0
USA,13,-0.019218106995884665,243,False,1.0125756638399034e-07,1.0
Australia,14,0.021085271317829446,258,False,6.13136234818443e-28,1.0
Austria,14,0.03585585585585585,111,False,6.462705382460121e-14,1.0
Belgium,14,-0.08701570680628273,191,False,1.1962001146804276e-10,1.0
Bulgaria,14,-0.0247244094488189,127,False,2.829654340542728e-11,1.0
Chile,14,0.07655172413793103,145,False,1.2940843978373517e-21,1.0
Denmark,14,-0.0,150,False,4.5644268580952146e-15,1.0
Germany,14,0.030152905198776753,327,False,9.392942811202507e-37,1.0
Hong Kong,14,-0.05648648648648649,148,False,1.440375716397999e-10,1.0
Hungary,14,0.04008230452674896,243,False,3.0305213554623856e-29,1.0
Ireland,14,0.0028571428571428636,175,False,1.3192175304098959e-17,1.0
Italy,14,0.01056478405315614,301,False,1.862944295696834e-30,1.0
Mainland China,14,-0.12125523012552303,239,False,7.994378934664573e-10,1.0
Norway,14,-0.0102439024390244,205,False,7.310337964667772e-19,1.0
Serbia,14,-0.05404255319148937,235,False,3.517870467122509e-16,1.0
Slovenia,14,0.010845771144278593,201,False,6.529003986918166e-21,1.0
Spain,14,0.010601092896174863,183,False,3.7337570605977593e-19,1.0
Sweden,14,0.036115107913669064,139,False,4.577556120118685e-17,1.0
UK,14,0.05747035573122529,253,False,3.2228990761809816e-33,1.0
USA,14,0.05242798353909464,243,False,3.6169481005303552e-31,1.0
Australia,15,-0.1424460431654676,278,False,0.054954921181968895,0.0
Austria,15,-0.05135135135135127,111,False,0.0017348900221975767,1.0
Belgium,15,-0.06125654450261775,191,False,0.00012559218652468315,1.0
Bulgaria,15,-0.054330708661417315,127,False,0.0010262887283917213,1.0
Chile,15,-0.051724137931034475,145,False,0.00035568114512504707,1.0
Denmark,15,-0.17333333333333334,150,False,0.5136291133931241,0.0
Germany,15,-0.09143730886850143,327,False,8.625933933586785e-05,1.0
Hong Kong,15,-0.148051948051948,154,False,0.19728799275451525,0.0
Hungary,15,-0.1074074074074074,243,False,0.003892417122778637,1.0
Ireland,15,0.01966527196652723,239,False,1.1067746450572587e-11,1.0
Italy,15,-0.10531561461794015,301,False,0.0010182851017293995,1.0
Mainland China,15,-0.09299610894941635,257,False,0.0006017913911809076,1.0
Norway,15,-0.08461538461538454,221,False,0.0006021785797492575,1.0
Serbia,15,-0.06514522821576763,241,False,2.8264332897377913e-05,1.0
Slovenia,15,-0.12574257425742574,202,False,0.03479013952699105,1.0
Spain,15,-0.033333333333333326,198,False,2.726504656155499e-06,1.0
Sweden,15,-0.11726618705035963,139,False,0.051076731820546666,0.0
UK,15,-0.0017543859649122862,285,False,2.1783199753700582e-11,1.0
USA,15,-0.1279835390946502,243,False,0.024752020731960242,1.0
Australia,16,-0.08524822695035461,282,False,6.018620431057008e-06,1.0
Austria,16,-0.16144144144144146,111,False,0.21723815915486128,0.0
Belgium,16,-0.2564583333333333,192,True,0.31232142167621324,0.0
Bulgaria,16,-0.09795275590551178,127,False,0.005944898777720462,1.0
Chile,16,-0.27172413793103445,145,True,0.21288109182775938,0.0
Denmark,16,-0.12,150,False,0.014305878435429641,1.0
Germany,16,-0.2245871559633027,327,True,0.8682353491641284,0.0
Hong Kong,16,-0.12,160,False,0.01141203638600166,1.0
Hungary,16,-0.09860082304526752,243,False,0.00015380022445312498,1.0
Ireland,16,-0.24734374999999997,256,True,0.38157390570502125,0.0
Italy,16,-0.1651827242524917,301,False,0.05715960153501558,0.0
Mainland China,16,-0.11382239382239379,259,False,0.0006319126730383984,1.0
Norway,16,0.0366371681415929,226,False,1.1984429356452206e-14,1.0
Serbia,16,-0.04520325203252029,246,False,4.1779546134318205e-08,1.0
Slovenia,16,-0.13584158415841585,202,False,0.01674626903226645,1.0
Spain,16,-0.10693467336683415,199,False,0.0014228981708163174,1.0
Sweden,16,-0.11568345323741003,139,False,0.013903464190894374,1.0
UK,16,-0.11310344827586205,290,False,0.0002718287820636503,1.0
USA,16,-0.32082304526748967,243,True,0.0016702515955096698,0.0
Australia,17,-0.19524822695035463,282,False,6.018620431057008e-06,1.0
Austria,17,-0.27144144144144144,111,False,0.21723815915486128,0.0
Belgium,17,-0.27270833333333333,192,False,0.1123511976904641,0.0
Bulgaria,17,-0.4362992125984252,127,True,0.016581305783609286,0.0
Chile,17,-0.36793103448275855,145,True,0.3609794872434988,0.0
Denmark,17,-0.2233333333333333,150,False,0.00898067124189882,1.0
Germany,17,-0.2917737003058104,327,False,0.16681726117682427,0.0
Hong Kong,17,-0.2925,160,False,0.34278171114790873,0.0
Hungary,17,-0.26209876543209876,243,False,0.034264007734869095,1.0
Ireland,17,-0.27921874999999996,256,False,0.10416255883043908,0.0
Italy,17,-0.23531561461794018,301,False,0.0010182851017293995,1.0
Mainland China,17,-0.28559845559845554,259,False,0.1529609924026876,0.0
Norway,17,-0.15743362831858407,226,False,2.120143162268483e-07,1.0
Serbia,17,-0.33406504065040643,246,True,0.8985325306585517,0.0
Slovenia,17,-0.2507920792079208,202,False,0.024353118662253655,1.0
Spain,17,-0.2722110552763819,199,False,0.10301133033200738,0.0
Sweden,17,-0.13215827338129496,139,False,3.0855834163181555e-06,1.0
UK,17,-0.16103448275862067,290,False,8.676592116588691e-09,1.0
USA,17,-0.2744444444444444,243,False,0.08326451666355042,0.0
