,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Gender,Age,Personal_Income,Financial_Situation,Bill_Payments,Education,Credit_Debt,Additional_Income_Private_Investment,Additional_Income_Property,Additional_Income_Business_Ownership,Additional_Income_Retirement_Plan,Loss_Awareness,Loss_Intuition,Country,Duration_in_seconds,Language,Sample,Duration_Minutes,YoB,Awareness_of_Loss_Aversion,Financial_Stress,Presentation_Order
45,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,20,0,Has not changed,I paid everything but saved nothing,Secondary school,I make the minimum payment and the interest is charged,0,0,0,0,0,1.0,Bulgaria,489,Bulgarian,Direct,8.15,1999,3,,16|4|11|5|17|18|12|15|9|13|2|6|3|10|14|8|7|1
46,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,Female,20,0,Has not changed,I had to take on some debt to pay them,Secondary school,I never purchase anything on credit or take on debt,0,0,0,0,1,,Bulgaria,394,Bulgarian,Direct,6.566666666666666,1999,1,,8|5|2|10|13|18|15|6|3|14|9|16|12|7|1|11|17|4
47,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Female,23,3200,Became a little better,I paid everything but saved nothing,University Undergraduate,I never purchase anything on credit or take on debt,0,0,0,0,1,,Bulgaria,568,Bulgarian,Direct,9.466666666666667,1996,1,,4|14|8|5|15|18|6|17|13|9|11|7|16|2|3|10|1|12
48,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,Female,39,18000,Has not changed,I paid everything and saved some,University Masters,I never purchase anything on credit or take on debt,0,1,0,0,1,,Bulgaria,663,Bulgarian,Direct,11.05,1980,1,,3|10|4|13|5|18|6|1|7|15|14|2|12|11|9|8|16|17
49,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,Male,37,36000,Has not changed,I paid everything but saved nothing,University Masters,I never purchase anything on credit or take on debt,0,0,0,0,0,1.0,Bulgaria,503,Bulgarian,Direct,8.383333333333333,1982,3,,8|3|7|1|14|18|2|11|13|5|15|16|4|10|6|12|17|9
50,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Female,43,11000,Has not changed,I paid everything but saved nothing,University Masters,I never purchase anything on credit or take on debt,0,1,0,0,0,0.0,Bulgaria,701,Bulgarian,Direct,11.683333333333334,1976,4,,17|15|5|4|2|18|16|14|12|3|13|7|10|8|11|6|9|1
51,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,Male,23,8000,Became a little worse,I paid everything but saved nothing,Secondary school,I pay off any balances every month,0,0,0,0,1,,Bulgaria,488,Bulgarian,Direct,8.133333333333333,1996,1,,12|3|13|15|11|18|8|2|5|17|10|6|14|9|7|1|4|16
52,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,Female,18,500,Became a little worse,I paid everything but saved nothing,Secondary school,I never purchase anything on credit or take on debt,0,0,0,0,1,,Bulgaria,476,Bulgarian,Direct,7.933333333333334,2001,1,,4|17|5|14|2|18|10|6|8|9|1|15|3|11|7|12|16|13
53,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Female,25,5000,Became a little better,I paid everything and saved some,University Masters,I never purchase anything on credit or take on debt,0,0,0,0,1,,Bulgaria,237,Bulgarian,Direct,3.95,1994,1,,4|3|9|11|12|18|15|1|14|10|7|13|8|16|6|5|17|2
54,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Female,48,12000,Has not changed,I had to take on a lot of debt to pay bills last month,University Masters,I pay off any balances every month,0,0,0,0,1,,Bulgaria,441,Bulgarian,Direct,7.35,1971,1,,9|15|6|8|14|18|12|16|2|13|1|5|17|3|11|7|10|4
55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Female,38,50000,Became a little better,I paid everything and saved some,University PhD,I never purchase anything on credit or take on debt,0,1,0,0,1,,Bulgaria,477,Bulgarian,Direct,7.95,1981,1,,2|13|17|4|10|18|12|5|7|1|14|15|11|6|9|16|8|3
56,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Female,34,9000,Became much worse,I paid everything but saved nothing,University Undergraduate,I pay off any balances every month,0,0,0,0,0,1.0,Bulgaria,573,Bulgarian,Direct,9.55,1985,3,,8|17|7|11|2|18|13|6|12|16|5|10|4|3|14|15|9|1
57,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Male,29,15000,Became much worse,I had to take on some debt to pay them,University Masters,I never purchase anything on credit or take on debt,0,0,0,0,0,1.0,Bulgaria,669,Bulgarian,Direct,11.15,1990,3,,3|6|13|10|1|18|9|14|11|4|7|2|8|16|17|5|12|15
58,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Female,22,7000,Became a little worse,I had to take on some debt to pay them,Secondary school,I generally pay off the interest but not the balance,0,0,0,0,0,1.0,Bulgaria,488,Bulgarian,Direct,8.133333333333333,1997,3,,2|10|11|17|6|18|9|1|15|3|4|5|8|16|7|13|14|12
